code_nacre,description,emission,emission_factor
AA01,"PAINS, PATISSERIES, VIENNOISERIES CONGELES",1.1,0.35
AA02,PRODUITS CARNES CONGELES,1.5,0.25
AA03,PRODUITS DE LA MER OU DEAU DOUCE CONGELES,1.5,0.4
AA04,FRUITS ET LEGUMES CONGELES,1.5,0.25
AA05,PREPARATIONS ALIMENTAIRES ET PLATS CUISINES CONGELES,1.1,2.5
AA11,"PAINS, PATISSERIES, VIENNOISERIES FRAIS",0.63,0.4
AA12,VIANDES FRAICHES - REFRIGEREES,2.0,0.35
AA13,PRODUITS DE LA MER OU DEAU DOUCE FRAIS,1.2,0.6
AA14,FRUITS ET LEGUMES FRAIS OU REFRIGERES,1.4,0.55
AA15,ŒUFS ET PRODUITS LAITIERS,1.9,0.5
AA16,PREPARATIONS ALIMENTAIRES ET PLATS CUISINES FRAIS - REFRIGERES,0.73,0.7
AA21,BOISSONS NON ALCOOLISEES,0.72,0.9
AA22,BOISSONS ALCOLISEES,0.68,1.1
AA23,CONSERVES ET EPICERIE,0.77,1.5
AA31,ALIMENTS ADAPTES A L'ENFANT,0.73,0.55
AA32,ALIMENTS DIETETIQUES SANS FIN MEDICALE,0.73,0.45
AA41,CONSOMMABLES POUR LA RESTAURATION,0.84,0.9
AA42,PETITES FOURNITURES POUR LA RESTAURATION,0.55,1.0
AA43,MOBILIER DE CUISINE ET DE SALLE DE RESTAURATION,0.55,0.7
AA44,"EQUIPEMENTS DE CUISINE ET DE SALLE DE RESTAURATION (ELECTROMENAGER,…)",0.7,0.25
AA51,PETITES FOURNITURES POUR L'HOTELLERIE,0.55,2.5
AA52,MOBILIER D'HOTELLERIE,0.62,0.6
AA53,EQUIPEMENT POUR L'HOTELLERIE ET LA BUANDERIE,0.7,0.3
AA61,SERVICES DE RESTAURATION SOCIALE (RESTAURANT PROPRE A GESTION CONCEDEE),0.32,0.12
AA62,TICKETS ET CHEQUES REPAS,0.32,0.08
AA63,SERVICES DE TRAITEURS / PLATEAUX REPAS,0.34,0.1
AA64,SERVICES DE RESTAURATION EXTERIEURS (RESTAURANTS),0.34,0.05
AA65,SERVICES DE CONTROLES SANITAIRES ET DE QUALITE,0.25,0.04
AA66,SERVICES DE BLANCHISSERIE- PRESSING POUR LA RESTAURATION ET L'HOTELLERIE,0.21,0.03
AA71,REPARATION ET MAINTENANCE DES EQUIPEMENTS DE RESTAURATION ET DE CUISINE,0.23,0.1
AA72,REPARATION ET MAINTENANCE DES EQUIPEMENTS D'HOTELLERIE ET BUANDERIE,0.23,0.12
AB01,PETITES FOURNITURES ET PETITS EQUIPEMENTS DE BUREAU (HORS INFORMATIQUE),0.5,0.35
AB02,MOBILIER DE BUREAU ET DE SALLES DE REUNION,0.42,0.25
AB03,MOBILIER ET EQUIPEMENTS SPECIFIQUES ERGONOMIQUES,0.42,0.4
AB11,REPARATION ET MAINTENANCE DES EQUIPEMENTS DE BUREAU ET DE SALLE DE REUNION,0.23,0.4
AB12,REPARATION ET MAINTENANCE DES EQUIPEMENTS SPECIFIQUES ERGONOMIQUES,,0.35
AC01,PAPIERS BLANCS OU COLORES COURANTS POUR IMPRESSION-REPROGRAPHIE,0.68,0.35
AC02,PAPIERS CARTONNES POUR IMPRESSION-REPROGRAPHIE,0.67,0.25
AC03,AUTRES SUPPORTS PAPIER SPECIFIQUES D'IMPRESSION-REPROGRAPHIE,0.7,0.4
AC11,"CONSOMMABLES POUR PHOTOCOPIEURS (ENCRES, AGRAPHES,…)",0.74,0.4
AC12,SUPPORTS SPECIFIQUES D'IMPRESSION,0.63,0.35
AC21,EQUIPEMENTS DE REPROGRAPHIE DE PROXIMITE,0.49,0.9
AC22,EQUIPEMENTS DE REPROGRAPHIE HAUT DEBIT POUR IMPRIMERIE,0.49,1.1
AC23,AUTRES EQUIPEMENTS POUR ATELIER DE REPROGRAPHIE,0.59,1.5
AC31,SERVICES EXTERNALISES D'IMPRESSION ET DE REPROGRAPHIE,0.35,0.55
AC41,REPARATION ET MAINTENANCE DES EQUIPEMENTS DE REPROGRAPHIE DE PROXIMITE,0.24,0.9
AC42,REPARATION ET MAINTENANCE DES EQUIPEMENTS DE REPROGRAPHIE HAUT DEBIT,0.24,1.0
AC43,REPARATION ET MAINTENANCE DES AUTRES EQUIPEMENTS D'ATELIER DE REPROGRAPHIE,0.24,0.7
AC44,LOCATION / MAINTENANCE DES EQUIPEMENTS DE REPROGRAPHIE DE PROXIMITE,,0.25
AC45,LOCATION / MAINTENANCE DES EQUIPEMENTS DE REPROGRAPHIE HAUT DEBIT,,0.25
AC46,LOCATION/ MAINTENANCE DES AUTRES EQUIPEMENTS D'ATELIER DE REPROGRAPHIE,,0.2
AD01,ACCESSOIRES ET PIECES DETACHEES POUR LE PARC DE VEHICULES,0.6,0.35
AD02,"MATERIEL, OUTILLAGE ET EQUIPEMENTS DE GARAGE",0.55,0.25
AD03,PRODUITS POUR L'ENTRETIEN DES VEHICULES,1.3,0.4
AD04,MATERIEL D'ESSAIS DE CHOCS ET ACCESSOIRES,0.38,0.25
AD11,VEHICULES AUTOMOBILES DE TRANSPORT DE PERSONNES (ACHAT OU LOC. LONGUE DUREE),0.56,0.4
AD12,VEHICULES AUTOMOBILES DE TRANSPORT EN COMMUN (ACHAT OU LOC. LONGUE DUREE),0.49,0.35
AD13,VEHICULES AUTOMOBILES DE TRANSPORT DE MARCHANDISES (ACHAT OU LOC. LONGUE DUREE),0.51,0.6
AD14,CYCLES ET CYCLOMOTEURS,0.51,0.55
AD15,VEHICULES TRACTES,0.67,0.5
AD21,CARBURANTS A LA POMPE (AUTOMOBILES),0.69,0.9
AD22,KEROSENE,0.9,1.1
AD23,CARBURANTS STOCKES,0.69,1.5
AD24,CARBURANT POUR NAVIRES,0.7,2.2
AD25,RECHARGE ELECTRIQUE POUR VEHICULES,0.56,0.8
AD31,CONTROLES TECHNIQUES DES VEHICULES,0.19,0.55
AD32,SERVICES DE GESTION DE FLOTTE AUTOMOBILE,0.12,0.45
AD41,ENTRETIEN ET REPARATION DU PARC VEHICULE,0.26,0.9
AD42,NETTOYAGE DES VEHICULES,0.25,1.0
AD43,MAINTENANCE DU MATERIEL ET DE L'OUTILLAGE DE GARAGE,0.24,0.7
AD44,NE PLUS UTILISER AD.32,0.12,0.25
AD45,ENTRETIEN MAINTENANCE DE BORNES DE RECHARGE ELECTRIQUE,0.24,0.25
AE01,"VETEMENTS, CHAUSSURES ET ACCESSOIRES (HORS EPI)",0.69,0.35
AE02,FOURNITURES COURANTES DE SPORT,0.65,0.25
AE03,"EQUIPEMENTS DE SPORT (POUR INFRASTRUCTURES,…)",0.65,0.4
AE04,FOURNITURES HANDISPORT SPORT,,0.25
AE05,AUTRES FOURNITURES DE SPORT,,2.5
AE11,INSTRUMENTS DE MUSIQUE ET ACCESSOIRES,0.32,0.4
AE21,JEUX EDUCATIFS,1.7,0.9
AE22,FOURNITURES ET EQUIPEMENTS POUR ACTIVITES EXTERIEURES,0.72,1.1
AE23,AUTRES FOURNITURES ET EQUIPEMENTS POUR ACTIVITES RECREATIVES,0.72,1.5
AE24,JOUETS,1.7,2.2
AE25,FIGURINES,1.7,0.8
AE26,PELUCHES,1.7,0.6
AE27,ARTICLES TEXTILES ET BIJOUX,0.55,0.7
AE31,REPARATION ET MAINTENANCE DES EQUIPEMENTS DE SPORT,0.24,0.55
AE32,REPARATION ET MAINTENANCE DES INSTRUMENTS DE MUSIQUE,0.24,0.45
AE33,REPARATION ET MAINTENANCE DES EQUIPEMENTS POUR ACTIVITES RECREATIVES,0.24,0.35
AE41,SERVICES D'ORGANISATION ET DE PROMOTION DES MANIF. SPORTIVES (HORS EVENEMENTIEL),0.18,0.9
AE42,"SERVICES D'EVALUATION, D'ENREGISTREMENT OU DE CONTROLE DES PRESTATIONS SPORTIVES",0.18,1.0
AE43,SERVICES D'EXPLOITATION DES INSTALLATIONS SPORTIVES,0.34,0.7
AE44,AUTRES SERVICES POUR LE SPORT,0.18,0.25
AE45,LOCATION DE LOCAUX SPORTIFS,,0.25
AE46,PRESTATIONS SPORTIVES,,0.2
AE47,DROITS D'ACCES A DES STRUCTURES SPORTIVES,,0.18
AE51,SERVICES D'ANIMATION RECREATIFS,0.18,2.5
AE52,AUTRES SERVICES RECREATIFS,0.18,0.6
AF01,MOBILIER PEDAGOGIQUE,0.52,0.35
AF11,ARTICLES DE DECORATION ET D'ORNEMENT,1.1,0.4
AF12,VETEMENTS DE TRAVAIL ET DE PROTECTION COURANT (HORS LAB),,0.35
AF13,PETITS EQUIPEMENTS DE PROTECTION COURANT (HORS LAB),,0.6
AF21,LOCATION DE SALLES DE COURTE DUREE (HORS EVENEMENTIEL),0.31,0.9
AF22,NETTOYAGE DES VETEMENTS DE TRAVAIL (HORS LAB),,1.1
AF31,CARTES MULTISERVICES,0.33,0.55
AF32,SYSTEMES DE CREATION ET DE GESTION DE CARTES MULTISERVICES,0.28,0.45
AF33,REPAR. ET MAINTENANCE DE SYSTEMES DE CREATION ET DE GESTION DE CARTES MULTISERVICES,0.21,0.35
BA01,ELECTRICITE DISTRIBUEE,3.1,0.35
